ime planinske točke,pot,zahtevnost 
Drobeče Sleme,Mojstrana - Drobeče Sleme,lahka neoznačena steza
Drobeče Sleme,Plaz Črlovec - Drobeče Sleme (zgornja pot),delno zahtevna neoznačena pot
Drobeče Sleme,Plaz Črlovec - Drobeče Sleme (čez Vrtaško planino),zahtevna neoznačena steza
Dve špici/Due Pizzi,Planina Zajzera - Dve špici/Due Pizzi (po poti 648),zahtevna označena pot
Erjavčev rovt (Planina Mlinca),Dovje - Erjavčev rovt (Planina Mlinca) (pešpot),lahka označena pot
Erjavčev rovt (Planina Mlinca),Dovje - Erjavčev rovt (Planina Mlinca) (po cesti),lahka neoznačena steza
Erjavčeva koča na Vršiču,Mihov dom na Vršiču - Erjavčeva koča na Vršiču (peš pot),lahka označena pot
Erjavčeva koča na Vršiču,Tonkina koča na Vršiču - Erjavčeva koča na Vršiču,lahka neoznačena steza
Eva,Planina Blato - Eva (čez Adama),lahko brezpotje
Florjanka / Monte Florianca,Trbiž / Tarviso - Florjanka / Monte Florianca (po servisni cesti),lahka neoznačena steza
Florjanka / Monte Florianca,Žabnice / Camporosso in Valcanale - Florjanka / Monte Florianca,lahka označena pot
Formila na Boču,Studenice - Formila na Boču (po cesti in planinski poti iz Makol),lahka označena pot
Formila na Boču,Studenice - Formila na Boču (po cesti),lahka označena pot
Formila na Boču,Zgornje Poljčane - Formila na Boču (po cesti),lahka označena pot
Fričev vrh,Mislinja - Fričev vrh (čez Završe),lahka označena pot
Fričev vrh,Mislinja - Fričev vrh (čez Črepič),lahka označena pot
Frčkova planina,Radovna - Frčkova planina,lahka neoznačena steza
Gabrovec,Breginj - Gabrovec,delno zahtevna označena pot
Galetovec,Bohinjska Bela (Podklanec) - Galetovec (zahodna pot),lahka označena pot
Galetovec,Bohinjska Bela (Zgornja vas) - Galetovec (vzhodna pot (čez Iglico)),delno zahtevna označena pot
Galetovec,Bohinjska Bela - Galetovec (čez Turn),lahka označena pot
Galetovec,Brezje - Galetovec,lahka označena pot
Galetovec,Ilovec - Galetovec,lahka neoznačena steza
Galetovec,Konjska raven (Pokljuka) - Galetovec,lahka označena pot
Galetovec,Konjska raven (Pokljuka) - Galetovec (preko Belske planine),lahka označena pot
Galetovec,Planina Smrečica (Poglajnov rovt) - Galetovec,lahka neoznačena steza
Galetovec,Zatrnik - Galetovec,lahka neoznačena steza
Gank,Koroška Bela (RC Kres) - Gank,lahko brezpotje
Glava v Zaplanji,Aljažev dom v Vratih - Glava v Zaplanji (čez Plemenice),zelo zahtevna označena pot
Glava v Zaplanji,Planina Blato - Glava v Zaplanji (Za Kopico),lahka neoznačena steza
Glava v Zaplanji,Zadnjica - Glava v Zaplanji (čez Dolič),lahka neoznačena steza
Glava v Zaplanji,Zadnjica - Glava v Zaplanji (čez Plemenice),zelo zahtevna označena pot
Glave,NC Planica - Glave (ob skakalnici),lahka neoznačena steza
Glave,Rateče (Ledine) - Glave,zahtevna neoznačena steza
Gogalova lipa,Kosmačev preval - Gogalova lipa,lahka označena pot
Gogalova lipa,Krnica (most čez Radovno) - Gogalova lipa,lahka neoznačena steza
Golarjeva peč,Kisla voda - Golarjeva peč,lahka neoznačena steza
Goli vrh,Belska Kočna - Goli vrh,lahka označena pot
Goli vrh,Ravenska Kočna - Goli vrh (avstrijska pot),lahka označena pot
Goli vrh,Ravenska Kočna - Goli vrh (slovenska pot),lahka označena pot
Goli vrh (Šavnice),Zavetišče na Biba planini - Goli vrh (Šavnice) (po neoznačeni poti),lahka neoznačena steza
Goli vrh (Šavnice),Zavetišče na Biba planini - Goli vrh (Šavnice) (po označeni poti),lahka označena pot
Golica,Dom Pristava v Javorniškem Rovtu - Golica (mimo koče),lahka označena pot
Golica,Dom Pristava v Javorniškem Rovtu - Golica (po grebenu),lahka neoznačena steza
Golica,Križovec - Golica (mimo koče),lahka označena pot
Golica,Križovec - Golica (po grebenu),lahka neoznačena steza
Golica,Planina pod Golico - Golica,lahka označena pot
Golica,Planina pod Golico - Golica (mimo ovčarske koče - vzhodna pot),lahka neoznačena steza
Golica,Planina pod Golico - Golica (mimo ovčarske koče - zahodna pot),delno zahtevna neoznačena pot
Golica,Planina pod Golico - Golica (zimska pot),delno zahtevna označena pot
Golica,Planina pod Golico - Golica (čez sedlo Suha),lahka označena pot
Golica,Podrožca / Rosenbach - Golica (skozi Medji dol),delno zahtevna označena pot
Golica,Podrožca / Rosenbach - Golica (čez planino Kladje),delno zahtevna označena pot
Golica,Tale / Tallach - Golica (čez planino Kladje),delno zahtevna označena pot
Goličica,Mlinarica - Goličica,zahtevna neoznačena steza
Gomiščkovo zavetišče na Krnu,Dom v Lepeni - Gomiščkovo zavetišče na Krnu,lahka označena pot
Gomiščkovo zavetišče na Krnu,Drežnica - Gomiščkovo zavetišče na Krnu (južna pot),lahka označena pot
Gomiščkovo zavetišče na Krnu,Drežnica - Gomiščkovo zavetišče na Krnu (pot Silva Korena),zelo zahtevna označena pot
Gomiščkovo zavetišče na Krnu,Koča na planini Kuhinja - Gomiščkovo zavetišče na Krnu,lahka označena pot
Gomiščkovo zavetišče na Krnu,Planina Kuhinja - Gomiščkovo zavetišče na Krnu,lahka označena pot
Gonžarjeva peč,Vinska Gora - Gonžarjeva peč (lahka pot),lahka označena pot
Gonžarjeva peč,Vinska Gora - Gonžarjeva peč (plezalna pot),izjemno zahtevna označena pot
Gora Oljka,Dobrič (Vedet) - Gora Oljka (mimo Rogeljška),lahka označena pot
Gora Oljka,Dobrič (Vedet) - Gora Oljka (po cesti),lahka neoznačena steza
Gora Oljka,Dobrič (Vedet) - Gora Oljka (čez Brezovec),lahka označena pot
Gora Oljka,Dobrič - Gora Oljka,lahka označena pot
Gora Oljka,Podgora - Gora Oljka (Martinova pot),lahka označena pot
Gora Oljka,Podvin pri Polzeli - Gora Oljka (spodnja pot),lahka označena pot
Gora Oljka,Podvin pri Polzeli - Gora Oljka (zgornja pot),lahka označena pot
Gora Oljka,Polzela - Gora Oljka (čez Vimperk),lahka označena pot
Gora Oljka,Rečica ob Paki - Gora Oljka,lahka označena pot
Gora sv. Eme (Junska gora) / Hemmaberg,Globasnica / Globasnitz - Gora sv. Eme (Junska gora) / Hemmaberg,lahka označena pot
Gora sv. Eme (Junska gora) / Hemmaberg,Podjuna / Jaunstein - Gora sv. Eme (Junska gora) / Hemmaberg (umik zaprti poti),lahka označena pot
Gorejca,Log pod Mangartom (rudnik) - Gorejca,lahka označena pot
Gostišče Zeleni Rob,Hotel Šimnovec - Gostišče Zeleni Rob,lahka označena pot
Govca (Olševa),Gostišče Firšt - Govca (Olševa),delno zahtevna označena pot
Govca (Olševa),Koprivna (Šumel) - Govca (Olševa) (mimo Haderlapa in čez Spodnje Sleme),lahka neoznačena steza
Govca (Olševa),Koprivna (Šumel) - Govca (Olševa) (mimo domačije Janšek),lahka neoznačena steza
Govca (Olševa),Koprivna (Šumel) - Govca (Olševa) (mimo sv. Jakoba),lahka neoznačena steza
Govca (Olševa),Planinski dom na kmetiji Kumer - Govca (Olševa),lahka označena pot
Govca (Olševa),Pod Peco (Koželj) / Koprein-Petzen (Koschiel) - Govca (Olševa) (čez Zadnji travnik),lahka označena pot
Govca (Olševa),Pod Peco / Koprein-Petzen - Govca (Olševa) (mimo Kumra),lahka označena pot
Govca (Olševa),Podolševa (Rogar) - Govca (Olševa) (direktna pot),zahtevna označena pot
Govca (Olševa),Podolševa (Rogar) - Govca (Olševa) (čez Obel kamen),zahtevna označena pot
Govca (Olševa),"Podolševa (Sveti Duh, Strevc) - Govca (Olševa)",zahtevna označena pot
Govca (Olševa),"Podolševa (Sveti Duh, Strevc) - Govca (Olševa) (čez Obel kamen)",zahtevna označena pot
Govca (Olševa),Spodnje Sleme - Govca (Olševa),lahka označena pot
Govca (Olševa),Zadnji travnik - Govca (Olševa),lahka označena pot
Govca (Olševa),Zadnji travnik - Govca (Olševa) (lovska pot),lahka neoznačena steza
Govševa planina,Planinski dom na kmetiji Kumer - Govševa planina,lahka označena pot
Govševa planina,Pod Peco / Koprein-Petzen - Govševa planina (mimo Kumra),lahka označena pot
Grad Gutenberk (Hudi grad),Bistrica pri Tržiču - Grad Gutenberk (Hudi grad) (vzhodna pot),lahka neoznačena steza
Grad Gutenberk (Hudi grad),Bistrica pri Tržiču - Grad Gutenberk (Hudi grad) (zahodna pot),lahka označena pot
Grad Konjice,Slovenske Konjice - Grad Konjice,lahka označena pot
Grad Konjice,Slovenske Konjice - Grad Konjice (lažja pot),lahka označena pot
Grad Lindek,Beli Potok pri Frankolovem - Grad Lindek,lahka označena pot
Grad Velenje,Velenje (Stari trg) - Grad Velenje (po cesti),lahka označena pot
Grad Velenje,Velenje (Stari trg) - Grad Velenje (po stezi),lahka neoznačena steza
Grad Velenje,Velenje (Stari trg) - Grad Velenje (po stopnicah),lahka označena pot
Grad Žovnek,Žovneško jezero - Grad Žovnek,lahka označena pot
Grad Žovnek,Žovneško jezero - Grad Žovnek (po cesti),lahka neoznačena steza
Gradišče (Bodešče),Bodešče - Gradišče (Bodešče),lahka označena pot
Gradišče (Bodešče),Šobčev bajer - Gradišče (Bodešče),lahka označena pot
Gradišče (Pustinjak),Babni Vrt - Gradišče (Pustinjak) (skozi gozd in mimo sv. Lovrenca),lahka neoznačena steza
Gradišče (Pustinjak),Bašelj - Gradišče (Pustinjak),lahka označena pot
Gradišče (Pustinjak),Bašelj - Gradišče (Pustinjak) (mimo sv. Lovrenca),lahka označena pot
Gradišče (Pustinjak),Laško - Gradišče (Pustinjak),lahka označena pot
Gradišče (Pustinjak),Povlje - Gradišče (Pustinjak),lahka neoznačena steza
Gradišče (Velika planina),Hotel Šimnovec - Gradišče (Velika planina),lahka označena pot
Gradišče (Velika planina),Kraljev hrib - Gradišče (Velika planina),lahka označena pot
Gradišče (Velika planina),"Kraljev hrib - Gradišče (Velika planina) (preko Škorence, Kačjeka in Gamsovih strež)",delno zahtevna neoznačena pot
Gradišče (Velika planina),Kraljev hrib - Gradišče (Velika planina) (čez Rigelj),zahtevna neoznačena steza
Gradišče (Velika planina),Kraljev hrib - Gradišče (Velika planina) (čez Sivnik in Rigelj),zahtevna neoznačena steza
Gradišče (Velika planina),Kranjski Rak  - Gradišče (Velika planina) (pešpot),lahka označena pot
Gradišče (Velika planina),Kranjski Rak - Gradišče (Velika planina) (spodaj po cesti),lahka označena pot
Gradišče (Velika planina),Kranjski Rak - Gradišče (Velika planina) (čez Seliški rob),lahka neoznačena steza
Gradišče (Velika planina),Planina Dol - Gradišče (Velika planina),lahka označena pot
Gradišče (Velika planina),Stahovica - Gradišče (Velika planina),lahka označena pot
Gradišče (Velika planina),Za Ušivcem - Gradišče (Velika planina),lahka neoznačena steza
Gradišče (Velika planina),Za Ušivcem - Gradišče (Velika planina) (čez Malo planino),lahka označena pot
Gradišče nad Sotesko (Soteska),Potoki - Gradišče nad Sotesko (Soteska),lahka neoznačena steza
Gradovec,Javorje - Gradovec (pot čez Glin),lahka neoznačena steza
Gradovec,Pod Debelo glavo - Gradovec,lahka neoznačena steza
Gradovec,Pod Debelo glavo - Gradovec (mimo lovske koče),lahka neoznačena steza
Gradovec,Vodel - Gradovec,lahka neoznačena steza
Grančišče,Mojstrana - Grančišče (južna pot),lahka označena pot
Grančišče,Mojstrana - Grančišče (severna pot),delno zahtevna neoznačena pot
Grančišče,Slovenski planinski muzej - Grančišče (Ferata Mojstrana - Modra),zelo zahtevna označena pot
Grančišče,Slovenski planinski muzej - Grančišče (Ferata Mojstrana - Rdeča),izjemno zahtevna označena pot
Grebenc,Povlje - Grebenc,lahka neoznačena steza
Grebenc,Povlje - Grebenc (po kolovozu),lahka neoznačena steza
Grebenc,Zalog - Grebenc,lahka neoznačena steza
Gregorčičev slap,Selce - Gregorčičev slap,zahtevna neoznačena steza
Grilova kapela na Boču,Studenice - Grilova kapela na Boču,lahka označena pot
Grilova kapela na Boču,Zgornje Poljčane - Grilova kapela na Boču,lahka označena pot
Grintovec,Ravenska Kočna - Grintovec (mimo žičnice in po Frischaufovi poti),zelo zahtevna označena pot
Grintovec,Ravenska Kočna - Grintovec (mimo žičnice in po Kremžarjevi poti),zelo zahtevna označena pot
Grintovec,Ravenska Kočna - Grintovec (po ferati in Frischaufovi poti),izjemno zahtevna označena pot
Grintovec,Ravenska Kočna - Grintovec (po ferati in Kremžarjevi poti),izjemno zahtevna označena pot
Grintovec,Ravenska Kočna - Grintovec (umik Žrela in po Frischaufovi poti),zelo zahtevna označena pot
Grintovec,Ravenska Kočna - Grintovec (umik Žrela in po Kremžarjevi poti),zelo zahtevna označena pot
Grintovec,Ravenska Kočna - Grintovec (čez Štularjevo planino in po Frischaufovi poti),zelo zahtevna označena pot
Grintovec,Ravenska Kočna - Grintovec (čez Štularjevo planino in po Kremžarjevi poti),zelo zahtevna označena pot
Grintovec,Suhadolnik - Grintovec (čez Kokrsko in Mlinarsko sedlo),zelo zahtevna označena pot
Grintovec,Suhadolnik - Grintovec (čez Streho),zahtevna označena pot
Grintovec,V  Koncu - Grintovec (čez Gamsov skret),zelo zahtevna neoznačena steza
Grintovec,V Koncu - Grintovec (čez Dolge stene),zelo zahtevno brezpotje
Grintovec,V Koncu - Grintovec (čez Kokrsko in Mlinarsko sedlo),zelo zahtevna označena pot
Grintovec,V Koncu - Grintovec (čez Streho),lahka označena pot
Grlovec / Ferlacher Horn,Bajdiše / Waidisch - Grlovec / Ferlacher Horn,lahka označena pot
Grlovec / Ferlacher Horn,Borovlje / Ferlach - Grlovec / Ferlacher Horn,delno zahtevna označena pot
Grlovec / Ferlacher Horn,Bučan - Grlovec / Ferlacher Horn (preko sedla Oselca),lahka neoznačena steza
Grlovec / Ferlacher Horn,Dajčpeter / Deutcher Peter - Grlovec / Ferlacher Horn,lahka označena pot
Grlovec / Ferlacher Horn,Franc / Franzbauer - Grlovec / Ferlacher Horn,lahka označena pot
Grlovec / Ferlacher Horn,Ljubelj - Grlovec / Ferlacher Horn (preko sedla Oselca),lahka neoznačena steza
Grmada (Dobrovlje),Braslovško jezero - Grmada (Dobrovlje),lahka označena pot
Grmada (Dobrovlje),Letuš - Grmada (Dobrovlje),lahka označena pot
Grmada (Dobrovlje),Žovneško jezero - Grmada (Dobrovlje),lahka označena pot
Grpišca,Srnjak - Grpišca,lahka neoznačena steza
Grušnica,Kneške Ravne - Grušnica (čez planino na Kalu),lahka neoznačena steza
Grušnica,Planina Kuk - Grušnica,lahka neoznačena steza
Grušnica,Tolminska korita - Grušnica (skozi Tolminska korita in čez Tolminske Ravne),delno zahtevna označena pot
Grušnica,Tolminska korita - Grušnica (čez Hudičev most in čez Tolminske Ravne),delno zahtevna označena pot
Grušnica,Tolminske Ravne - Grušnica (čez planino na Kalu),lahka neoznačena steza
Gubno,Aljažev dom v Vratih - Gubno,lahko brezpotje
Gubno,Erjavčev Rovt - Gubno,lahka označena pot
Gubno,Erjavčev rovt - Gubno,delno zahtevna označena pot
Gubno,Pišnica - Gubno,zelo zahtevna označena pot
Gubno,Ravne - Gubno,delno zahtevna označena pot
Gubno,Ruski križ - Gubno,zelo zahtevna označena pot
Gubno,Zapornica (Belca) - Gubno,zahtevna označena pot
Hajnžev Praprotnik / Zeller Prapotnik,Bučan - Hajnžev Praprotnik / Zeller Prapotnik,delno zahtevna označena pot
Hajnžev Praprotnik / Zeller Prapotnik,Koncentracijsko taborišče - Hajnžev Praprotnik / Zeller Prapotnik,lahka neoznačena steza
Hajnžev Praprotnik / Zeller Prapotnik,Ljubelj - Hajnžev Praprotnik / Zeller Prapotnik (mimo Koče na Ljubelju),zahtevna označena pot
Hajnžev Praprotnik / Zeller Prapotnik,Sele-Zvrhnji Kot (Male) / Zell-Oberwinkel (Male) - Hajnžev Praprotnik / Zeller Prapotnik,lahka neoznačena steza
Hajnžev Praprotnik / Zeller Prapotnik,Vranček - Hajnžev Praprotnik / Zeller Prapotnik,lahka neoznačena steza
Hajnževo sedlo,Bučan - Hajnževo sedlo,zahtevna označena pot
Hajnževo sedlo,Ljubelj - Hajnževo sedlo (mimo Koče na Ljubelju),zahtevna označena pot
Hajnževo sedlo,Sele-Zvrhnji Kot (Male) / Zell-Oberwinkel (Male) - Hajnževo sedlo,lahka označena pot
Hajnževo sedlo,Vranček - Hajnževo sedlo (pot mimo planine Korošica),lahka označena pot
Hofovška planina / Hoffmansalpe,Podkanja vas / Wildenstein - Hofovška planina / Hoffmansalpe,lahka označena pot
Hom (nad Prevaljami),Leše - Hom (nad Prevaljami) (skozi Kot pri Prevaljah),lahka neoznačena steza
Hom (nad Prevaljami),Prevalje - Hom (nad Prevaljami),lahka neoznačena steza
Hom pri Bledu,Blejska Dobrava (pokopališče)  - Hom pri Bledu (čez Katarino),lahka neoznačena steza
Hom pri Bledu,Blejska Dobrava (pokopališče) - Hom pri Bledu (po vzhodnem pobočju),lahka neoznačena steza
Hom pri Bledu,Podhom - Hom pri Bledu,lahka neoznačena steza
Hotel Golte,Hotel Golte - Hotel Golte (pot po Golteh),lahka označena pot
Hotel Golte,Planinska Ravna - Hotel Golte (po cesti),lahka označena pot
Hotel Krvavec,Dom na Gospincu - Hotel Krvavec,lahka označena pot
Hotel Krvavec,Planina Jezerca - Hotel Krvavec (po cesti),lahka označena pot
Hotel Krvavec,Spodnja Kokra - Hotel Krvavec,lahka označena pot
Hotel Krvavec,Spodnja postaja žičnice na Krvavec - Hotel Krvavec,lahka označena pot
Hotunjski vrh,Poljšica pri Gorjah (Zatrata) - Hotunjski vrh (po cesti),lahka neoznačena steza
Hotunjski vrh,Poljšica pri Gorjah (Zatrata) - Hotunjski vrh (po pešpoti),lahka neoznačena steza
Hotunjski vrh,Zatrnik - Hotunjski vrh (severna pot),lahka neoznačena steza
Hotunjski vrh,Zatrnik - Hotunjski vrh (zahodna pot),lahka neoznačena steza
Hrašenska planina,Dom Trilobit - Hrašenska planina (Za Kraševcem),lahka neoznačena steza
Hrašenska planina,Olipova planina - Hrašenska planina,lahka neoznačena steza
Hribarska (Huda) zijalka,Solčava - Hribarska (Huda) zijalka (mimo Solčavske tise),zahtevna neoznačena steza
Hruška planina,Hrušica - Hruška planina (čez Češnjevec),lahka neoznačena steza
Hruška planina,Rogarjev rovt - Hruška planina (po kolovozu),lahka neoznačena steza
Hruški vrh,Hrušica - Hruški vrh (čez Češnjevec in Hruško planino),lahka neoznačena steza
Hruški vrh,Martinčev Rovt - Hruški vrh,lahka neoznačena steza
Hruški vrh,Planina pod Golico - Hruški vrh,lahka označena pot
Hruški vrh,Podrožca / Rosenbach - Hruški vrh,lahka označena pot
Hruški vrh,Podrožca / Rosenbach - Hruški vrh (čez Koprivnjak),lahka označena pot
Hruški vrh,Ravne - Hruški vrh (direktna pot),lahka označena pot
Hruški vrh,Ravne - Hruški vrh (čez Dovško Babo),lahka neoznačena steza
Hruški vrh,Rogarjev rovt - Hruški vrh (čez Hruško planino),lahka neoznačena steza
Hruški vrh,Rogarjev rovt - Hruški vrh (čez Rožco),lahka neoznačena steza
Humčič,Počivalnik - Humčič,zahtevna neoznačena steza
Humčič,Čezsoča - Humčič,lahka neoznačena steza
Icmanikova planina,Hotel Plesnik - Icmanikova planina (čez Plesnikovo planino),delno zahtevna označena pot
Icmanikova planina,Hotel Plesnik - Icmanikova planina (čez Rkljevo peč),delno zahtevna označena pot
Icmanikova planina,Podbreg - Icmanikova planina,lahka neoznačena steza
Idrska planina,Avsa - Idrska planina,lahka označena pot
Idrska planina,Avsa - Idrska planina (stara pot),lahka označena pot
Iglica,Bohinjska Bela (Zgornja vas) - Iglica,delno zahtevna označena pot
Ingotova koča na planini Jesenje,Gozd Martuljek - Ingotova koča na planini Jesenje (ob reki),lahka označena pot
Ingotova koča na planini Jesenje,Gozd Martuljek - Ingotova koča na planini Jesenje (po kolovozu),lahka označena pot
Italijanska vojaška kapela na Planici,Koča na planini Kuhinja - Italijanska vojaška kapela na Planici,lahka neoznačena steza
Italijanska vojaška kapela na Planici,Planina Kuhinja - Italijanska vojaška kapela na Planici,lahka označena pot
Izletniška kmetija Bukovc (Bukovnik),Koprivna (Šumel) - Izletniška kmetija Bukovc (Bukovnik) (mimo domačije Haderlap),lahka neoznačena steza
Izletniška kmetija Bukovc (Bukovnik),Koprivna (Šumel) - Izletniška kmetija Bukovc (Bukovnik) (mimo domačije Janšek),lahka neoznačena steza
Izvir Bele,Breginj  - Izvir Bele,lahka označena pot
Izvir Bistrice,Bohinjska Bistrica - Izvir Bistrice,lahka označena pot
Izvir Boke,Most Boka - Izvir Boke,zahtevna označena pot
Izvir Glijuna,Plužna - Izvir Glijuna,lahka označena pot
Izvir Javornika,Dom Trilobit - Izvir Javornika,lahka označena pot
Izvir Lipnika,Krnica (most čez Radovno) - Izvir Lipnika,lahka označena pot
Izvir Nadiže,NC Planica - Izvir Nadiže (po pešpoti),delno zahtevna označena pot
Izvir Sotle,Prelaz Vrhe - Izvir Sotle,lahka označena pot
Izvir Sotle,Rudijev dom na Donački gori - Izvir Sotle,lahka označena pot
Izvir Soče,Koča pri izviru Soče - Izvir Soče,zahtevna označena pot
Izvir Tolminke,Planina Polog - Izvir Tolminke,lahka označena pot
Izvir reke Meže,Koprivna (Kos) - Izvir reke Meže,lahka označena pot
Jalovec,Bavšica - Jalovec,zelo zahtevna označena pot
Jalovec,Dom v Tamarju - Jalovec (po melišču in čez Kotovo sedlo),zelo zahtevna označena pot
Jalovec,Dom v Tamarju - Jalovec (zimski plezalni vzpon skozi zimski kamin),zelo zahtevno brezpotje
Jalovec,Dom v Tamarju - Jalovec (čez Jalovško škrbino),zelo zahtevna označena pot
Jalovec,Dom v Tamarju - Jalovec (čez Kotovo sedlo),zelo zahtevna označena pot
Jalovec,Flori-Zadnja Trenta - Jalovec (mimo zavetišča pod Špičkom),zelo zahtevna označena pot
Jalovec,Flori-Zadnja Trenta - Jalovec (čez Jalovško škrbino),zelo zahtevna označena pot
Jalovec,Loška Koritnica - Jalovec (mimo zavetišča pod Špičkom),zelo zahtevna označena pot
Jalovec,Vršič - Jalovec (mimo zavetišča pod Špičkom),zelo zahtevna označena pot
Jalovec,Vršič - Jalovec (čez Jalovško škrbino),zelo zahtevna označena pot
Jalovnik,Koča na planini Stador - Jalovnik,lahka neoznačena steza
Jalovnik,Planina Lom - Jalovnik,lahka neoznačena steza
Jama Srnica,Plužna - Jama Srnica,delno zahtevna neoznačena pot
Jamarski bivak na Dleskovški planoti,Planina Ravne - Jamarski bivak na Dleskovški planoti (čez Dolgo trato),lahko brezpotje
Jamarski bivak na Dleskovški planoti,Planina Ravne - Jamarski bivak na Dleskovški planoti (čez Zelene trate),lahko brezpotje
Jamarski bivak na Dleskovški planoti,Planina Ravne - Jamarski bivak na Dleskovški planoti (čez planino Polšak),lahko brezpotje
Jamna peč,Možjanca - Jamna peč,lahka neoznačena steza
Jamna peč,Olševek - Jamna peč,lahka neoznačena steza
Jamna peč,Preddvor - Jamna peč (po pešpoti),lahka neoznačena steza
Jamnikov spodmol,Podkočna - Jamnikov spodmol,lahka neoznačena steza
Jarški dom na Mali planini,Kranjski Rak  - Jarški dom na Mali planini (pešpot),lahka označena pot
Jarški dom na Mali planini,Kranjski Rak - Jarški dom na Mali planini (spodaj po cesti),lahka označena pot
Jarški dom na Mali planini,Kranjski Rak - Jarški dom na Mali planini (čez Seliški rob),lahka neoznačena steza
Jarški dom na Mali planini,Krivčevo - Jarški dom na Mali planini,lahka označena pot
Jarški dom na Mali planini,Za Ušivcem - Jarški dom na Mali planini,lahka označena pot
Javor (nad Tolminskimi Ravnami),Tolminska korita - Javor (nad Tolminskimi Ravnami) (skozi Tolminska korita in čez Tolminske Ravne),delno zahtevna označena pot
Javor (nad Tolminskimi Ravnami),Tolminska korita - Javor (nad Tolminskimi Ravnami) (čez Hudičev most in čez Tolminske Ravne),delno zahtevna označena pot
Javor (nad Tolminskimi Ravnami),Tolminske Ravne - Javor (nad Tolminskimi Ravnami),lahka neoznačena steza
Javorca,Planina Polog - Javorca (po cesti),lahka označena pot
Javorca (Golte),Planinska Ravna - Javorca (Golte) (pot ob možicih (Janezova pot)),zelo zahtevna neoznačena steza
Javornik nad Jezerskim,Makekova Kočna - Javornik nad Jezerskim,lahka neoznačena steza
Javorniški slapovi,Trebež (Jesenice) - Javorniški slapovi (po cesti),delno zahtevna neoznačena pot
Javorov vrh,Mače - Javorov vrh (Mačenska pot),lahka označena pot
Javorov vrh,Mače - Javorov vrh (čez Kozjek),lahka označena pot
Javorov vrh,Potoče - Javorov vrh (direktna pot),lahka označena pot
Javorov vrh,"Potoče - Javorov vrh (mimo sv. Jakoba, pod Potoško goro in čez Babo)",lahka neoznačena steza
Javorov vrh,Potoče - Javorov vrh (čez Potoško goro),lahka označena pot
Javorov vrh,Spodnja Kokra - Javorov vrh,lahka označena pot
Javorov vrh,Spodnja Kokra - Javorov vrh (čez Babo),lahka neoznačena steza
Javorov vrh (Pokljuka),Zgornji Goreljek - Javorov vrh (Pokljuka),lahka označena pot
Javoršček,Jablenca - Javoršček,lahka neoznačena steza
Javoršček,Počivalnik - Javoršček,zahtevna neoznačena steza
Jehlc (Špičasta kupa),Grant - Jehlc (Špičasta kupa),lahka neoznačena steza
Jehlc (Špičasta kupa),Rutarski gozd - Jehlc (Špičasta kupa),lahka neoznačena steza
Jelenkamen,Jesenice (Ukova) - Jelenkamen (mimo Kalvarije),delno zahtevna označena pot
Jelenkamen,Jesenice (Ukova) - Jelenkamen (skozi Dole),lahka neoznačena steza
Jelenkamen,Straža (Jesenice) - Jelenkamen (čez Kozjek - vzhodna pot),lahka neoznačena steza
Jelenkamen,Straža (Jesenice) - Jelenkamen (čez Kozjek),delno zahtevna neoznačena pot
Jelenkamen,Tomšičeva  cesta (Jesenice) - Jelenkamen (mimo Šporna),delno zahtevna neoznačena pot
Jelovec,Luče - Jelovec,lahka neoznačena steza
Jelovec,Planina Loka - Jelovec,lahka neoznačena steza
Jenkova planina,Ravenska Kočna - Jenkova planina,lahka označena pot
Jerebica,Bele Vode - Jerebica,delno zahtevna označena pot
Jerebica,Možnica - Jerebica,zahtevna označena pot
Jerebikovec,Korensko sedlo - Jerebikovec,lahka neoznačena steza
Jerebikovec,Mojstrana - Jerebikovec,lahka označena pot
Jerebikovec,Spodnji Kozjek - Jerebikovec (po cesti),lahka neoznačena steza
Jesenik,Koča na Pikovem - Jesenik,lahka neoznačena steza
Jesenik,Mežica - Jesenik (mimo domačije Jesenik),lahka neoznačena steza
Jesenik,Mežica - Jesenik (čez preval Vrh šteng),lahka neoznačena steza
Jesenik,Šumahovo sedlo - Jesenik (čez Veliki in Pikov vrh),lahka neoznačena steza
Jeseniška planina,Martinčev Rovt - Jeseniška planina,lahka neoznačena steza
Jeseniška planina,Planina pod Golico - Jeseniška planina,lahka označena pot
Jezerce v dolini Radovne,Krnica (most čez Radovno) - Jezerce v dolini Radovne,lahka neoznačena steza
Jezero Jasna,Gozd Martuljek - Jezero Jasna (skozi Tofov graben),lahka označena pot
Jezero Kreda,Dovje - Jezero Kreda,lahka označena pot
Jezero Kreda,Pri Rosu - Jezero Kreda,lahka označena pot
Jezero Kreda v dolini Radovne,Krnica (most čez Radovno) - Jezero Kreda v dolini Radovne,lahka neoznačena steza
Jezero Završnica,Poljana (Završnica) - Jezero Završnica (krožna pot po trim stezi),lahka označena pot
Jezero pri Čežov,Podljubelj (Pod Košuto) - Jezero pri Čežov,lahka neoznačena steza
Jezero v Ledvicah,Koča pri Savici - Jezero v Ledvicah,zahtevna označena pot
Jezero v Ledvicah,Planina Blato - Jezero v Ledvicah (čez Štapce),delno zahtevna označena pot
Jezero v Lužnici,Krn - Jezero v Lužnici (čez planino Sleme),lahka označena pot
Jezero v Lužnici,Planina Kuninja - Jezero v Lužnici,lahka označena pot
